"Ano Diagnóstico";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"não se aplica";"Total"
"1980";0;0;0;0;0;1;0;0;0;0;1
"1982";1;1;1;0;0;2;1;1;1;0;8
"1983";0;3;0;3;0;6;0;0;8;0;20
"1984";0;4;0;19;0;13;1;0;26;3;66
"1985";2;20;0;61;0;56;3;0;103;6;251
"1986";16;80;1;112;3;125;3;1;204;12;557
"1987";50;323;3;360;2;336;4;0;430;52;1560
"1988";68;724;5;718;6;609;9;1;683;99;2922
"1989";124;1048;4;1132;2;817;5;1;948;124;4205
"1990";132;1585;7;1722;12;1208;11;3;1245;188;6113
"1991";236;2077;4;2431;11;1710;16;3;1385;248;8121
"1992";310;2904;11;3288;15;2141;19;0;1655;337;10680
"1993";472;3514;14;3969;18;2561;35;3;1539;374;12499
"1994";537;4020;18;4282;26;2813;41;2;1491;538;13768
"1995";698;4439;24;5132;30;3176;39;6;1553;667;15764
"1996";855;5119;26;5942;64;3377;65;12;1733;805;17998
"1997";1055;5905;48;6926;86;3754;105;13;1657;894;20443
"1998";1107;8050;61;6803;111;4206;175;18;1879;851;23261
"1999";959;7500;77;6225;132;3939;161;20;1685;798;21496
"2000";1102;7394;161;6844;188;4189;196;41;1650;684;22449
"2001";1053;6196;144;7272;221;4461;211;37;1586;720;21901
"2002";1087;4412;223;8214;328;5230;343;47;1862;739;22485
"2003";958;3777;297;8532;377;5385;363;54;2006;782;22531
"2004";902;3598;313;8092;485;5332;471;79;2019;593;21884
"2005";840;3074;411;7462;611;4824;661;125;2170;596;20774
"2006";737;2750;739;6759;1158;4148;985;212;1888;447;19823
"2007";527;2372;2159;5092;2998;1700;2849;548;1161;347;19753
"2008";585;2519;2051;5111;2965;1881;3499;633;1290;337;20871
"2009";612;2347;1931;5097;2917;1795;3819;764;1502;308;21092
"2010";663;2274;1725;5078;2909;1824;4143;893;1629;305;21443
"2011";697;2316;1779;5071;2795;1850;4511;969;1862;260;22110
"2012";655;2280;1703;5042;2741;1906;4981;1111;2037;280;22736
"2013";645;2128;1470;4986;2796;1838;5110;1254;2059;233;22519
"2014";574;1871;1366;4251;2377;1660;4844;1220;1909;202;20274
"2015";448;1619;1143;3331;1911;1415;4063;1048;1700;137;16815
"2016";153;486;348;1034;604;441;1284;336;490;39;5215
