"Município (Res)";"Freqüência"
"110040 Alto Paraíso";1
"110004 Cacoal";8
"110005 Cerejeiras";1
"110010 Guajará-Mirim";3
"110012 Ji-Paraná";2
"110018 Pimenta Bueno";1
"110020 Porto Velho";29
"110028 Rolim de Moura";1
"110030 Vilhena";10
"120040 Rio Branco";1
"130030 Autazes";1
"130140 Eirunepé";1
"130250 Manacapuru";1
"130260 Manaus";81
"130340 Parintins";4
"130353 Presidente Figueiredo";2
"130420 Tefé";2
"140010 Boa Vista";8
"150010 Abaetetuba";1
"150040 Alenquer";1
"150050 Almeirim";1
"150060 Altamira";1
"150080 Ananindeua";19
"150140 Belém";129
"150240 Castanhal";2
"150277 Curionópolis";1
"150330 Igarapé-Miri";1
"150340 Inhangapi";1
"150360 Itaituba";1
"150420 Marabá";3
"150440 Marapanim";2
"150445 Medicilândia";1
"150480 Monte Alegre";1
"150506 Novo Repartimento";1
"150510 Óbidos";2
"150543 Ourilândia do Norte";1
"150550 Paragominas";1
"150553 Parauapebas";2
"150620 Salinópolis";1
"150660 Santa Maria do Pará";1
"150680 Santarém";1
"150810 Tucuruí";1
"150830 Viseu";1
"160030 Macapá";16
"170210 Araguaína";4
"170390 Caseara";1
"171670 Colméia";1
"170950 Gurupi";4
"171070 Itaguatins";1
"171190 Lagoa da Confusão";1
"171200 Lajeado";1
"171250 Marianópolis do Tocantins";3
"171330 Miranorte";1
"172100 Palmas";2
"171610 Paraíso do Tocantins";1
"172020 São Miguel do Tocantins";1
"172030 São Sebastião do Tocantins";1
"210005 Açailândia";3
"210060 Amarante do Maranhão";1
"210110 Axixá";1
"210120 Bacabal";3
"210197 Boa Vista do Gurupi";2
"210300 Caxias";4
"210340 Coelho Neto";2
"210360 Coroatá";1
"210460 Governador Eugênio Barros";1
"210520 Igarapé Grande";1
"210530 Imperatriz";27
"210570 Lago da Pedra";1
"210660 Matões";1
"210750 Paço do Lumiar";1
"210780 Parnarama";1
"210820 Pedreiras";2
"210870 Pio XII";2
"210910 Presidente Dutra";1
"210990 Santa Inês";1
"211050 São Bento";1
"211100 São João Batista";1
"211120 São José de Ribamar";4
"211130 São Luís";74
"211220 Timon";4
"211270 Vargem Grande";1
"211290 Vitória do Mearim";2
"220010 Agricolândia";1
"220100 Arraial";1
"220200 Buriti dos Lopes";1
"220220 Campo Maior";3
"220270 Cocal";1
"220277 Colônia do Piauí";1
"220370 Esperantina";1
"220390 Floriano";1
"220580 Luzilândia";1
"220620 Miguel Alves";1
"220680 Nossa Senhora dos Remédios";1
"220700 Oeiras";1
"220770 Parnaíba";3
"220790 Pedro II";1
"220820 Pio IX";1
"221060 São Raimundo Nonato";1
"221070 Simões";1
"221100 Teresina";52
"221130 Valença do Piauí";1
"221140 Várzea Grande";2
"230050 Alcântaras";1
"230100 Aquiraz";1
"230120 Aracoiaba";1
"230300 Caridade";1
"230340 Carnaubal";1
"230350 Cascavel";1
"230370 Caucaia";4
"230395 Chorozinho";1
"230420 Crato";1
"230423 Croatá";1
"230428 Eusébio";1
"230440 Fortaleza";219
"230450 Frecheirinha";2
"230465 Graça";1
"230490 Groaíras";3
"230520 Hidrolândia";1
"230523 Horizonte";1
"230530 Ibiapina";2
"230540 Icó";1
"230560 Independência";1
"230580 Ipu";6
"230640 Itapipoca";1
