"Município (Res)";"Freqüência"
"110001 Alta Floresta D'Oeste";3
"110040 Alto Paraíso";2
"110034 Alvorada D'Oeste";3
"110002 Ariquemes";43
"110045 Buritis";1
"110004 Cacoal";9
"110070 Campo Novo de Rondônia";1
"110080 Candeias do Jamari";6
"110092 Chupinguaia";4
"110006 Colorado do Oeste";2
"110008 Costa Marques";2
"110009 Espigão D'Oeste";2
"110010 Guajará-Mirim";5
"110011 Jaru";1
"110012 Ji-Paraná";29
"110013 Machadinho D'Oeste";1
"110120 Ministro Andreazza";1
"110014 Nova Brasilândia D'Oeste";4
"110033 Nova Mamoré";2
"110015 Ouro Preto do Oeste";2
"110018 Pimenta Bueno";7
"110020 Porto Velho";194
"110028 Rolim de Moura";8
"110032 São Miguel do Guaporé";1
"110155 Teixeirópolis";1
"110170 Urupá";1
"110030 Vilhena";38
"120001 Acrelândia";2
"120010 Brasiléia";1
"120020 Cruzeiro do Sul";3
"120033 Mâncio Lima";1
"120034 Manoel Urbano";3
"120038 Plácido de Castro";2
"120040 Rio Branco";50
"120050 Sena Madureira";6
"120045 Senador Guiomard";3
"120060 Tarauacá";1
"120070 Xapuri";2
"130008 Anamã";1
"130014 Apuí";1
"130020 Atalaia do Norte";3
"130030 Autazes";6
"130060 Benjamin Constant";11
"130063 Beruri";1
"130070 Boca do Acre";2
"130080 Borba";1
"130100 Carauari";1
"130110 Careiro";3
"130115 Careiro da Várzea";2
"130120 Coari";9
"130140 Eirunepé";1
"130170 Humaitá";6
"130185 Iranduba";8
"130190 Itacoatiara";11
"130250 Manacapuru";18
"130255 Manaquiri";2
"130260 Manaus";910
"130270 Manicoré";2
"130280 Maraã";2
"130290 Maués";4
"130310 Nova Olinda do Norte";2
"130320 Novo Airão";1
"130340 Parintins";18
"130353 Presidente Figueiredo";2
"130356 Rio Preto da Eva";1
"130370 Santo Antônio do Içá";2
"130390 São Paulo de Olivença";7
"130406 Tabatinga";25
"130420 Tefé";16
"130426 Uarini";2
"130430 Urucará";1
"130440 Urucurituba";3
"130000 Município ignorado - AM";1
"140005 Alto Alegre";1
"140010 Boa Vista";111
"140015 Bonfim";1
"140017 Cantá";3
"140020 Caracaraí";3
"140023 Caroebe";1
"140028 Iracema";1
"140030 Mucajaí";5
"140040 Normandia";1
"140045 Pacaraima";3
"140047 Rorainópolis";6
"150010 Abaetetuba";12
"150020 Acará";3
"150040 Alenquer";1
"150050 Almeirim";1
"150060 Altamira";15
"150070 Anajás";2
"150080 Ananindeua";170
"150090 Augusto Corrêa";7
"150120 Baião";2
"150130 Barcarena";14
"150140 Belém";535
"150145 Belterra";1
"150150 Benevides";14
"150170 Bragança";31
"150178 Breu Branco";4
"150180 Breves";1
"150200 Cachoeira do Arari";2
"150210 Cametá";5
"150215 Canaã dos Carajás";8
"150220 Capanema";9
"150230 Capitão Poço";3
"150240 Castanhal";41
"150260 Colares";2
"150270 Conceição do Araguaia";5
"150275 Concórdia do Pará";2
"150277 Curionópolis";4
"150290 Curuçá";6
"150293 Dom Eliseu";9
"150295 Eldorado dos Carajás";3
"150307 Garrafão do Norte";3
"150309 Goianésia do Pará";8
"150310 Gurupá";5
"150320 Igarapé-Açu";4
"150330 Igarapé-Miri";2
"150345 Ipixuna do Pará";3
"150350 Irituia";1
"150360 Itaituba";18
"150370 Itupiranga";5
"150375 Jacareacanga";1
"150380 Jacundá";6
"150390 Juruti";2
"150400 Limoeiro do Ajuru";6
"150405 Mãe do Rio";2
"150420 Marabá";56
"150430 Maracanã";1
"150440 Marapanim";2
"150442 Marituba";29
"150445 Medicilândia";1
"150460 Mocajuba";2
"150470 Moju";3
"150480 Monte Alegre";6
"150490 Muaná";1
"150497 Nova Ipixuna";3
"150503 Novo Progresso";13
"150506 Novo Repartimento";5
"150510 Óbidos";7
"150530 Oriximiná";7
"150540 Ourém";4
"150543 Ourilândia do Norte";4
"150548 Pacajá";3
"150549 Palestina do Pará";1
"150550 Paragominas";28
"150553 Parauapebas";21
"150555 Pau D'Arco";1
"150563 Piçarra";1
"150570 Ponta de Pedras";2
"150580 Portel";1
"150610 Primavera";1
"150613 Redenção";18
"150616 Rio Maria";1
"150618 Rondon do Pará";6
"150620 Salinópolis";4
"150630 Salvaterra";5
"150635 Santa Bárbara do Pará";1
"150650 Santa Isabel do Pará";11
"150655 Santa Luzia do Pará";1
"150658 Santa Maria das Barreiras";3
"150660 Santa Maria do Pará";4
"150670 Santana do Araguaia";8
"150680 Santarém";73
"150690 Santarém Novo";2
"150700 Santo Antônio do Tauá";5
"150710 São Caetano de Odivelas";4
"150715 São Domingos do Araguaia";4
"150720 São Domingos do Capim";2
"150730 São Félix do Xingu";15
"150740 São Francisco do Pará";3
"150745 São Geraldo do Araguaia";6
"150747 São João de Pirabas";3
"150760 São Miguel do Guamá";7
"150770 São Sebastião da Boa Vista";2
"150790 Soure";4
"150795 Tailândia";8
"150800 Tomé-Açu";7
"150803 Tracuateua";1
"150805 Trairão";2
"150808 Tucumã";5
"150810 Tucuruí";33
"150812 Ulianópolis";4
"150820 Vigia";10
"150835 Vitória do Xingu";1
"150840 Xinguara";5
"160020 Calçoene";3
"160025 Itaubal";1
"160027 Laranjal do Jari";5
"160030 Macapá";114
"160050 Oiapoque";6
"160053 Porto Grande";1
"160060 Santana";11
"160080 Vitória do Jari";5
"170030 Aguiarnópolis";2
"170035 Aliança do Tocantins";3
