"Tabela 6449 - Empresas e outras organizações, pessoal ocupado total e assalariado em 31.12, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0)"
"Variável - Número de empresas e outras organizações (Unidades)"
"Município";"Ano x Classificação Nacional de Atividades Econômicas (CNAE 2.0)"
"Município";"2015"
"Município";"Total";"A Agricultura, pecuária, produção florestal, pesca e aquicultura";"B Indústrias extrativas";"C Indústrias de transformação";"D Eletricidade e gás";"E Água, esgoto, atividades de gestão de resíduos e descontaminação";"F Construção";"G Comércio; reparação de veículos automotores e motocicletas";"H Transporte, armazenagem e correio";"I Alojamento e alimentação";"J Informação e comunicação";"K Atividades financeiras, de seguros e serviços relacionados";"L Atividades imobiliárias";"M Atividades profissionais, científicas e técnicas";"N Atividades administrativas e serviços complementares";"O Administração pública, defesa e seguridade social";"P Educação";"Q Saúde humana e serviços sociais";"R Artes, cultura, esporte e recreação";"S Outras atividades de serviços";"T Serviços domésticos";"U Organismos internacionais e outras instituições extraterritoriais"
"Alta Floresta D'Oeste (RO)";"461";"2";"1";"30";"7";"3";"17";"261";"19";"17";"4";"3";"1";"8";"9";"4";"23";"10";"4";"38";"-";"-"
"Ariquemes (RO)";"2251";"24";"30";"233";"1";"10";"92";"1092";"62";"143";"26";"28";"12";"80";"119";"5";"64";"70";"22";"138";"-";"-"
"Cabixi (RO)";"65";"2";"-";"7";"-";"-";"-";"32";"3";"4";"2";"-";"-";"3";"2";"2";"5";"1";"-";"2";"-";"-"
"Cacoal (RO)";"1864";"15";"8";"196";"1";"7";"93";"863";"78";"103";"34";"14";"29";"83";"89";"4";"51";"92";"18";"86";"-";"-"
"Cerejeiras (RO)";"393";"8";"-";"37";"1";"-";"7";"199";"24";"16";"5";"1";"2";"17";"9";"3";"11";"11";"2";"40";"-";"-"
"Colorado do Oeste (RO)";"265";"3";"2";"29";"3";"-";"14";"144";"10";"11";"5";"2";"-";"6";"8";"4";"4";"5";"2";"13";"-";"-"
"Corumbiara (RO)";"104";"5";"-";"8";"-";"-";"5";"58";"1";"4";"-";"-";"-";"3";"3";"4";"5";"4";"-";"4";"-";"-"
"Costa Marques (RO)";"151";"-";"-";"19";"-";"1";"3";"89";"2";"11";"-";"-";"-";"5";"3";"4";"2";"2";"-";"10";"-";"-"
"Espigão D'Oeste (RO)";"613";"1";"1";"99";"1";"1";"28";"302";"24";"17";"6";"4";"4";"16";"12";"4";"18";"21";"7";"47";"-";"-"
"Guajará-Mirim (RO)";"525";"2";"1";"30";"-";"1";"11";"326";"22";"33";"2";"2";"-";"11";"16";"5";"12";"13";"4";"34";"-";"-"
"Jaru (RO)";"1104";"9";"4";"91";"-";"3";"51";"561";"44";"54";"18";"8";"6";"32";"39";"3";"40";"40";"15";"86";"-";"-"
"Ji-Paraná (RO)";"2912";"14";"11";"280";"-";"13";"125";"1467";"109";"132";"55";"30";"32";"132";"152";"4";"80";"112";"25";"139";"-";"-"
"Machadinho D'Oeste (RO)";"486";"6";"7";"52";"-";"2";"13";"240";"17";"17";"3";"2";"6";"7";"13";"4";"12";"10";"6";"69";"-";"-"
"Nova Brasilândia D'Oeste (RO)";"270";"4";"1";"18";"-";"-";"11";"137";"10";"6";"5";"1";"3";"11";"8";"3";"5";"6";"2";"39";"-";"-"
"Ouro Preto do Oeste (RO)";"695";"5";"-";"50";"-";"1";"16";"363";"35";"45";"9";"3";"2";"34";"28";"3";"15";"26";"8";"52";"-";"-"
"Pimenta Bueno (RO)";"819";"9";"5";"99";"2";"-";"32";"398";"41";"39";"17";"10";"2";"35";"26";"2";"22";"22";"6";"52";"-";"-"
"Porto Velho (RO)";"8952";"52";"23";"543";"7";"18";"434";"4089";"266";"686";"123";"113";"81";"458";"685";"24";"260";"429";"101";"560";"-";"-"
"Presidente Médici (RO)";"316";"-";"2";"21";"-";"2";"15";"155";"15";"16";"3";"1";"1";"15";"8";"4";"5";"6";"3";"44";"-";"-"
"Rio Crespo (RO)";"24";"-";"1";"2";"-";"-";"-";"14";"1";"1";"-";"-";"-";"-";"1";"2";"-";"-";"-";"2";"-";"-"
"Rolim de Moura (RO)";"1178";"6";"1";"132";"1";"2";"71";"563";"49";"61";"28";"6";"4";"39";"42";"4";"27";"42";"10";"90";"-";"-"
"Santa Luzia D'Oeste (RO)";"85";"-";"1";"7";"-";"-";"5";"51";"5";"2";"1";"1";"-";"3";"1";"3";"1";"1";"-";"3";"-";"-"
"Vilhena (RO)";"2380";"25";"7";"189";"6";"11";"123";"1028";"328";"120";"35";"25";"25";"106";"110";"4";"45";"80";"24";"89";"-";"-"
"São Miguel do Guaporé (RO)";"307";"-";"-";"19";"-";"1";"13";"165";"9";"13";"1";"-";"1";"7";"7";"3";"20";"10";"1";"37";"-";"-"
"Nova Mamoré (RO)";"284";"1";"1";"28";"-";"-";"4";"193";"5";"12";"2";"-";"-";"5";"6";"5";"4";"7";"3";"8";"-";"-"
"Alvorada D'Oeste (RO)";"335";"4";"1";"17";"-";"1";"4";"125";"17";"10";"4";"-";"-";"9";"3";"5";"72";"3";"2";"58";"-";"-"
"Alto Alegre dos Parecis (RO)";"153";"1";"-";"11";"2";"-";"4";"106";"1";"1";"2";"-";"-";"3";"3";"3";"4";"3";"-";"9";"-";"-"
"Alto Paraíso (RO)";"253";"-";"-";"29";"-";"1";"5";"136";"13";"11";"-";"-";"1";"7";"5";"2";"20";"4";"2";"17";"-";"-"
"Buritis (RO)";"620";"1";"2";"76";"-";"2";"21";"352";"13";"21";"6";"3";"2";"13";"24";"3";"14";"19";"3";"45";"-";"-"
"Novo Horizonte do Oeste (RO)";"90";"-";"-";"8";"-";"-";"6";"56";"1";"-";"6";"-";"-";"1";"4";"3";"1";"1";"-";"3";"-";"-"
"Cacaulândia (RO)";"51";"1";"-";"1";"-";"-";"1";"30";"1";"4";"1";"-";"-";"1";"3";"4";"1";"1";"-";"2";"-";"-"
"Campo Novo de Rondônia (RO)";"108";"1";"3";"3";"-";"-";"6";"68";"3";"3";"-";"-";"-";"2";"2";"2";"4";"-";"-";"11";"-";"-"
"Candeias do Jamari (RO)";"240";"2";"5";"38";"-";"1";"6";"116";"14";"16";"2";"-";"1";"6";"9";"3";"5";"4";"2";"10";"-";"-"
"Castanheiras (RO)";"25";"2";"-";"-";"-";"-";"2";"13";"1";"-";"-";"-";"-";"-";"2";"2";"1";"-";"-";"2";"-";"-"
"Chupinguaia (RO)";"156";"8";"1";"11";"2";"-";"6";"80";"7";"13";"1";"-";"-";"6";"4";"5";"3";"3";"1";"5";"-";"-"
"Cujubim (RO)";"372";"24";"-";"80";"-";"-";"7";"169";"22";"10";"-";"-";"-";"5";"7";"2";"4";"3";"2";"37";"-";"-"
"Governador Jorge Teixeira (RO)";"75";"2";"-";"3";"-";"-";"-";"38";"1";"-";"2";"1";"-";"1";"1";"5";"3";"2";"1";"15";"-";"-"
"Itapuã do Oeste (RO)";"103";"7";"1";"14";"-";"-";"1";"55";"2";"9";"-";"-";"-";"1";"3";"2";"1";"2";"1";"4";"-";"-"
"Ministro Andreazza (RO)";"77";"1";"-";"10";"-";"-";"1";"42";"2";"2";"1";"1";"-";"2";"3";"4";"2";"1";"1";"4";"-";"-"
"Mirante da Serra (RO)";"208";"2";"-";"22";"-";"-";"2";"107";"2";"6";"2";"1";"-";"1";"9";"4";"7";"8";"1";"34";"-";"-"
"Monte Negro (RO)";"183";"4";"1";"17";"-";"-";"12";"92";"10";"8";"3";"-";"1";"2";"6";"5";"6";"6";"1";"9";"-";"-"
"Nova União (RO)";"123";"1";"2";"2";"-";"-";"2";"61";"2";"5";"-";"-";"-";"1";"4";"4";"2";"2";"-";"35";"-";"-"
"Parecis (RO)";"60";"5";"-";"6";"-";"-";"1";"29";"2";"3";"1";"-";"-";"1";"1";"4";"1";"1";"1";"4";"-";"-"
"Pimenteiras do Oeste (RO)";"25";"1";"1";"1";"-";"-";"-";"7";"2";"4";"-";"-";"-";"-";"3";"2";"-";"-";"1";"3";"-";"-"
"Primavera de Rondônia (RO)";"54";"-";"-";"3";"-";"1";"1";"15";"-";"-";"1";"-";"-";"3";"3";"4";"5";"-";"-";"18";"-";"-"
"São Felipe D'Oeste (RO)";"76";"-";"-";"2";"-";"1";"-";"34";"1";"1";"1";"-";"-";"2";"2";"2";"5";"1";"1";"23";"-";"-"
"São Francisco do Guaporé (RO)";"254";"1";"3";"29";"-";"2";"11";"140";"8";"13";"1";"-";"-";"4";"8";"4";"6";"6";"1";"17";"-";"-"
